fnames,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19
NGRN,1614.8879,2527.5728,2750.9475,2416.7063,2338.2162,3375.7416,2195.1142,5841.0944,2380.8946,2812.4064,2893.1697,2645.1157,3372.1583,2549.1443,2964.3852,2420.2049,2440.9298,2761.7655,2662.9582,1994.0015
NHEDC1,1.7454,2.2537,1.3264,2.6347,5.4979,4.3624,1.916,1.6106,0.7582,1.3252,10.4908,4.3785,8.082,7.7185,4.6256,2.2766,1.8978,2.373,3.8328,4.2243
NHEDC2,26.1803,37.9909,155.1853,100.74700000000001,47.0373,80.5369,51.7324,150.3263,26.5353,135.6157,70.0637,58.0156,137.3939,67.453,97.9969,103.5857,108.6513,74.5135,115.6794,142.8571
NHEG1,0.0,0.0,0.0,0.0,0.6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636,0.0,0.0,0.0,4.2715,0.0,1.1521
NHEJ1,270.6205,260.6143,311.61400000000003,275.207,197.8131,397.4396,272.0741,371.3945,178.9234,218.8647,315.8486,231.4605,275.8654,314.1381,229.584,320.4326,244.0953,219.4067,203.4843,181.2596
NHLH1,6.2833,2.2537,0.6632,11.9652,3.6652,2.0134,1.916,5.1004,3.7908,4.8592,2.248,2.9189999999999996,1.0776,4.8181,2.7735,4.5532,2.3723,2.373,1.3937,3.0722
NHLH2,0.6981,0.9659,1.9896,0.0,46.4264,1.3423,5.747999999999999,0.0,1.5163,0.0,31.0978,4.3785,6.4656,0.0,0.9245,14.2288,0.9489,36.5449,1.3937,6.5284
NHLRC1,142.4208,54.4107,52.06,132.5745,98.3506,118.7919,75.3632,18.7908,72.0243,312.0928,95.9161,65.3132,66.8112,120.4517,57.9353,79.6813,69.2711,26.5781,47.0383,64.5161
NHLRC2,156.7327,188.6666,195.6396,100.0291,123.3965,168.7919,141.1464,152.4738,166.0349,89.4533,85.7999,89.3952,109.9151,109.852,108.7827,93.3409,95.8409,120.0759,77.7003,110.9831
NHLRC3,579.4572,698.3241,529.5532,1020.8715,808.7966,581.8792,346.16,386.5533,1294.1622,838.6527,748.595,964.7382,663.8012,952.0506,510.0154,639.1577,568.8773,672.5202,683.9721,740.0154
NHLRC4,39.794000000000004,45.7179,38.4647,21.0588,18.3262,13.0872,27.4629,23.0858,6.0652,13.2523,200.0749,294.8216,84.5915,55.8896,157.47299999999998,102.4474,61.2053,37.9687,40.7666,12.6728
NHP2,1779.2128,974.2410000000001,1435.7954,743.7573,1151.4966,1413.4228,1252.4349,2134.0964,1104.6247,1920.9277,1267.1413,1079.6748,1508.1002,1179.4635,850.5393,996.0159,733.0404,730.4224,941.115,790.7066
NHP2L1,1582.3370000000002,2216.0281,3382.9064,2312.396,2266.3409,2743.9597,2110.8095,1813.0424,1311.5997,2616.8967,2663.5444,2262.9751,2811.9953,2391.6898,2078.2743,2474.1036,1988.4611,2355.9563,2111.4983,1870.1997
NHS,102.6268,391.1774,617.4252,100.5077,145.9988,102.34899999999999,283.5702,110.5972,182.7142,184.6494,62.1956,71.881,51.18600000000001,24.0903,82.8968,80.8196,110.5491,52.6815,64.4599,64.9002
NHSL1,150.1004,383.4505,175.4124,220.8777,956.628,1165.1007,345.5213,103.0809,1354.8143,215.5715,819.7827,1169.4349,570.5888,1069.6115,1827.735,1425.7257,1800.1006,1804.4613,1731.3589,1003.0722
NHSL2,26.1803,20.9272,13.9269,20.1015,30.5437,13.0872,6.3867,4.5635,12.8886,18.5533,22.1057,23.7171,29.634,39.5082,61.6333,38.1332,66.8988,78.3104,44.5993,53.7634
NICN1,316.8933,204.7774,142.7207,289.3283,544.6243,186.755,210.7616,222.0319,611.6831,221.9304,270.2173,367.4324,346.1842,333.4104,390.8783,395.5606,388.5826,430.7119,388.9895,417.0507
NID1,1653.4881,3996.6323,2306.4611,1826.7091,1552.2053,739.2349,4484.2088,661.6773,2097.7559,1919.8078,1415.5377,914.7206,3375.2672,1072.4638,3244.4253,1068.7194,3528.8472,2868.804,4500.6272,1719.1974
